x,y
0,20.45
1,21.86
2,23.27
3,24.68
4,26.09
5,27.5
6,28.91
7,30.32
8,31.73
9,33.14
10,34.55
11,35.96
12,37.37
13,38.78
14,40.19
15,41.6
16,43.01
17,44.42
18,45.83
19,47.24
20,48.65
21,50.06
22,51.47
23,52.88
24,54.29
25,55.7
26,57.11
27,58.52
28,59.93
29,61.34
30,62.75
31,64.16
32,65.57
33,66.98
34,68.39
35,69.8
36,71.21
37,72.62
38,74.03
39,75.44
40,76.85
41,78.26
42,79.67
43,81.08
44,82.49
45,83.9
46,85.31
47,86.72
48,88.13
49,89.54
50,90.95
51,92.36
52,93.77
53,95.18
54,96.59
55,98
56,99.41
57,100.82
58,102.23
59,103.64
60,105.05
61,106.46
62,107.87
63,109.28
64,110.69
65,112.1
66,113.51
67,114.92
68,116.33
69,117.74
70,119.15
71,120.56
72,121.97
73,123.38
74,124.79
75,126.2
76,127.61
77,129.02
78,130.43
79,131.84
80,133.25
81,134.66
82,136.07
83,137.48
84,138.89
85,140.3
86,141.71
87,143.12
88,144.53
89,145.94
90,147.35
91,148.76
92,150.17
93,151.58
94,152.99
95,154.4
96,155.81
97,157.22
98,158.63
99,160.04
