x,y
0,19
1,20.5
2,22
3,23.5
4,25
5,26.5
6,28
7,29.5
8,31
9,32.5
10,34
11,35.5
12,37
13,38.5
14,40
15,41.5
16,43
17,44.5
18,46
19,47.5
20,49
21,50.5
22,52
23,53.5
24,55
25,56.5
26,58
27,59.5
28,61
29,62.5
30,64
31,65.5
32,67
33,68.5
34,70
35,71.5
36,73
37,74.5
38,76
39,77.5
40,79
41,80.5
42,82
43,83.5
44,85
45,86.5
46,88
47,89.5
48,91
49,92.5
50,94
51,95.5
52,97
53,98.5
54,100
55,101.5
56,103
57,104.5
58,106
59,107.5
60,109
61,110.5
62,112
63,113.5
64,115
65,116.5
66,118
67,119.5
68,121
69,122.5
70,124
71,125.5
72,127
73,128.5
74,130
75,131.5
76,133
77,134.5
78,136
79,137.5
80,139
81,140.5
82,142
83,143.5
84,145
85,146.5
86,148
87,149.5
88,151
89,152.5
90,154
91,155.5
92,157
93,158.5
94,160
95,161.5
96,163
97,164.5
98,166
99,167.5
